# Input: ./data/wiki-Vote.txt
# Nodes: 7115    Edges: 100762
# Algoritm: Clauset-Newman-Moore
# Modularity: 0.350042
# Communities: 52
# NId	CommunityId
30	0
1412	0
3	0
28	0
39	0
54	0
108	0
152	0
178	0
182	0
214	0
271	0
286	0
300	0
348	0
349	0
371	0
567	0
581	0
584	0
586	0
590	0
604	0
611	0
8283	0
25	0
6	0
8	0
19	0
23	0
29	0
33	0
35	0
50	0
55	0
75	0
80	0
86	0
94	0
154	0
192	0
224	0
226	0
246	0
252	0
255	0
257	0
261	0
273	0
280	0
282	0
299	0
302	0
306	0
308	0
322	0
325	0
339	0
356	0
358	0
363	0
370	0
373	0
377	0
379	0
415	0
422	0
428	0
439	0
488	0
514	0
545	0
549	0
560	0
592	0
600	0
645	0
650	0
659	0
664	0
667	0
673	0
675	0
696	0
723	0
739	0
756	0
857	0
864	0
893	0
1131	0
3755	0
8282	0
8284	0
4	0
10	0
38	0
56	0
130	0
140	0
151	0
232	0
243	0
341	0
606	0
5	0
61	0
89	0
93	0
153	0
163	0
167	0
168	0
175	0
34	0
132	0
135	0
183	0
216	0
219	0
227	0
228	0
236	0
250	0
258	0
259	0
274	0
301	0
304	0
317	0
319	0
359	0
362	0
378	0
390	0
391	0
392	0
394	0
396	0
402	0
405	0
406	0
421	0
427	0
431	0
433	0
435	0
440	0
447	0
538	0
564	0
566	0
589	0
609	0
613	0
616	0
617	0
619	0
643	0
656	0
665	0
668	0
694	0
700	0
730	0
733	0
741	0
779	0
791	0
798	0
802	0
820	0
863	0
881	0
885	0
895	0
897	0
906	0
932	0
936	0
955	0
963	0
966	0
972	0
979	0
983	0
991	0
995	0
1007	0
1014	0
1022	0
1026	0
1144	0
1156	0
1218	0
1446	0
1464	0
1478	0
1507	0
1513	0
1563	0
1569	0
1573	0
1648	0
2409	0
7	0
32	0
105	0
524	0
1190	0
1193	0
8287	0
36	0
49	0
144	0
150	0
389	0
607	0
622	0
624	0
627	0
628	0
631	0
636	0
637	0
657	0
658	0
674	0
677	0
681	0
687	0
715	0
719	0
725	0
749	0
760	0
806	0
810	0
817	0
822	0
844	0
866	0
868	0
875	0
878	0
882	0
938	0
977	0
1092	0
9	0
517	0
626	0
918	0
1855	0
743	0
746	0
748	0
750	0
15	0
72	0
95	0
334	0
338	0
429	0
644	0
647	0
684	0
705	0
771	0
793	0
829	0
837	0
838	0
839	0
849	0
853	0
929	0
934	0
942	0
945	0
956	0
958	0
985	0
989	0
1080	0
1186	0
1196	0
1260	0
1418	0
8286	0
12	0
663	0
697	0
13	0
14	0
324	0
368	0
477	0
797	0
1053	0
1123	0
8285	0
4658	0
16	0
17	0
18	0
20	0
321	0
981	0
1044	0
8288	0
21	0
794	0
22	0
601	0
670	0
1039	0
742	0
1030	0
1077	0
1023	0
1038	0
4303	0
37	0
40	0
26	0
419	0
41	0
42	0
823	0
43	0
44	0
45	0
46	0
47	0
1300	0
48	0
51	0
52	0
682	0
714	0
1020	0
1432	0
515	0
57	0
58	0
62	0
27	0
63	0
65	0
66	0
73	0
76	0
78	0
1192	0
79	0
930	0
77	0
81	0
83	0
91	0
67	0
84	0
85	0
5421	0
71	0
87	0
88	0
1270	0
90	0
92	0
82	0
96	0
100	0
98	0
31	0
102	0
1232	0
103	0
5503	0
115	0
116	0
104	0
106	0
117	0
118	0
119	0
107	0
110	0
111	0
120	0
112	0
121	0
113	0
123	0
124	0
114	0
126	0
129	0
133	0
134	0
136	0
6997	0
137	0
138	0
139	0
141	0
142	0
143	0
145	0
1141	0
149	0
156	0
157	0
158	0
159	0
160	0
161	0
1240	0
162	0
165	0
174	0
74	0
177	0
179	0
181	0
166	0
185	0
194	0
187	0
189	0
196	0
190	0
197	0
195	0
198	0
199	0
191	0
200	0
201	0
202	0
205	0
206	0
207	0
208	0
209	0
210	0
125	0
217	0
221	0
223	0
225	0
240	0
242	0
244	0
245	0
247	0
231	0
233	0
234	0
235	0
237	0
248	0
238	0
239	0
169	0
253	0
254	0
1287	0
256	0
260	0
263	0
264	0
265	0
267	0
268	0
269	0
276	0
277	0
241	0
283	0
284	0
287	0
288	0
289	0
294	0
292	0
293	0
295	0
296	0
297	0
249	0
303	0
1833	0
903	0
1277	0
307	0
320	0
309	0
312	0
315	0
316	0
305	0
318	0
6110	0
329	0
330	0
323	0
326	0
331	0
327	0
251	0
328	0
333	0
335	0
336	0
337	0
340	0
342	0
343	0
344	0
345	0
351	0
355	0
352	0
353	0
357	0
193	0
364	0
365	0
366	0
369	0
367	0
374	0
375	0
376	0
386	0
381	0
382	0
387	0
101	0
384	0
393	0
397	0
399	0
400	0
401	0
408	0
409	0
410	0
411	0
413	0
414	0
416	0
418	0
423	0
424	0
426	0
430	0
618	0
436	0
437	0
438	0
441	0
443	0
444	0
451	0
448	0
446	0
450	0
211	0
453	0
454	0
455	0
456	0
5631	0
458	0
460	0
461	0
462	0
463	0
467	0
468	0
164	0
472	0
476	0
479	0
480	0
481	0
486	0
473	0
489	0
490	0
492	0
493	0
494	0
497	0
498	0
499	0
501	0
502	0
504	0
513	0
511	0
509	0
516	0
519	0
520	0
522	0
523	0
445	0
527	0
528	0
531	0
530	0
529	0
536	0
539	0
540	0
541	0
542	0
543	0
544	0
551	0
218	0
547	0
548	0
550	0
552	0
553	0
555	0
556	0
557	0
558	0
561	0
562	0
563	0
565	0
568	0
569	0
570	0
571	0
573	0
574	0
576	0
577	0
578	0
583	0
585	0
591	0
595	0
593	0
596	0
594	0
597	0
598	0
599	0
602	0
605	0
610	0
612	0
614	0
615	0
495	0
620	0
8289	0
621	0
625	0
632	0
638	0
640	0
641	0
642	0
648	0
649	0
651	0
655	0
652	0
653	0
654	0
661	0
662	0
666	0
639	0
669	0
672	0
676	0
678	0
683	0
688	0
692	0
693	0
699	0
703	0
709	0
711	0
716	0
718	0
720	0
721	0
724	0
726	0
728	0
729	0
731	0
732	0
738	0
734	0
735	0
745	0
751	0
754	0
752	0
753	0
755	0
758	0
759	0
767	0
768	0
770	0
772	0
773	0
774	0
736	0
775	0
776	0
786	0
788	0
780	0
782	0
792	0
796	0
799	0
800	0
801	0
807	0
808	0
811	0
812	0
814	0
815	0
816	0
819	0
821	0
818	0
824	0
830	0
832	0
835	0
843	0
845	0
847	0
848	0
851	0
855	0
860	0
862	0
865	0
867	0
869	0
874	0
876	0
877	0
880	0
883	0
886	0
888	0
889	0
890	0
891	0
892	0
469	0
898	0
900	0
1323	0
902	0
905	0
909	0
910	0
911	0
912	0
914	0
923	0
916	0
917	0
919	0
921	0
924	0
927	0
926	0
931	0
940	0
944	0
949	0
951	0
957	0
965	0
962	0
964	0
969	0
970	0
973	0
976	0
980	0
984	0
987	0
990	0
992	0
1008	0
1013	0
1016	0
1017	0
1019	0
1021	0
1025	0
1027	0
1028	0
1033	0
1040	0
1052	0
1067	0
1065	0
1066	0
1070	0
1071	0
1072	0
1084	0
1078	0
1079	0
1081	0
1083	0
1085	0
1086	0
1089	0
1087	0
1088	0
1093	0
1094	0
1095	0
1096	0
1099	0
1104	0
1105	0
1106	0
1101	0
1107	0
1108	0
1109	0
1110	0
1112	0
1113	0
1115	0
1120	0
1126	0
1130	0
1134	0
1145	0
1146	0
1147	0
1155	0
1158	0
1161	0
1177	0
1178	0
1179	0
1170	0
1180	0
1171	0
1090	0
1172	0
1173	0
1174	0
1175	0
1182	0
1176	0
1187	0
1188	0
1189	0
1194	0
1195	0
1235	0
1237	0
1272	0
1273	0
1274	0
1275	0
1276	0
1280	0
1292	0
1294	0
1295	0
1299	0
1301	0
1302	0
1303	0
1304	0
1309	0
1313	0
1311	0
1312	0
1320	0
1327	0
1328	0
1325	0
1329	0
1331	0
1332	0
1334	0
1336	0
1337	0
1338	0
1340	0
1343	0
1344	0
1345	0
1346	0
1349	0
1351	0
1359	0
1355	0
1361	0
1362	0
1358	0
1369	0
1370	0
1404	0
1405	0
1406	0
1408	0
1409	0
1410	0
1423	0
1429	0
1436	0
1443	0
1445	0
1454	0
1455	0
1456	0
1458	0
1459	0
1460	0
1461	0
1581	0
1503	0
1512	0
1540	0
1541	0
1543	0
1545	0
1546	0
1558	0
1559	0
1560	0
1568	0
1572	0
1576	0
1634	0
1635	0
1645	0
1696	0
679	0
1830	0
1831	0
1840	0
1923	0
1924	0
1890	0
1926	0
1929	0
1930	0
1932	0
1933	0
1938	0
1934	0
1939	0
1940	0
1968	0
2005	0
2008	0
2040	0
2012	0
2013	0
2015	0
2017	0
2019	0
2020	0
2021	0
2023	0
2024	0
2025	0
2026	0
2027	0
2045	0
2029	0
2030	0
2031	0
2032	0
2034	0
2035	0
2127	0
2142	0
2161	0
2296	0
2401	0
2402	0
2518	0
2519	0
2355	0
2520	0
2530	0
2531	0
2521	0
2522	0
2523	0
2534	0
2526	0
2527	0
2528	0
2536	0
2537	0
2538	0
2529	0
2540	0
1181	0
2569	0
2730	0
2731	0
2733	0
2729	0
2734	0
2861	0
2868	0
2869	0
2870	0
2864	0
2865	0
3004	0
3160	0
3259	0
3269	0
1529	0
3930	0
4015	0
4190	0
2841	0
4611	0
4745	0
4856	0
4903	0
4904	0
4906	0
4909	0
4912	0
4914	0
4922	0
4933	0
5536	0
5610	0
5617	0
5666	0
5676	0
5695	0
5698	0
6178	0
6196	0
6197	0
6181	0
6183	0
6184	0
6185	0
6186	0
6187	0
388	0
6188	0
6199	0
6201	0
6203	0
6205	0
6206	0
6191	0
6192	0
6193	0
6996	0
7576	0
7577	0
7581	0
3352	1
127	1
310	1
407	1
706	1
959	1
994	1
147	1
171	1
285	1
290	1
298	1
432	1
579	1
691	1
704	1
717	1
761	1
765	1
789	1
813	1
826	1
871	1
904	1
907	1
913	1
922	1
960	1
971	1
978	1
993	1
1032	1
1035	1
1043	1
1055	1
1062	1
1125	1
1152	1
1160	1
1167	1
1168	1
1220	1
1221	1
1222	1
1234	1
1241	1
1248	1
1253	1
1261	1
1297	1
1321	1
1326	1
1377	1
1389	1
1390	1
1394	1
1396	1
1428	1
1439	1
1441	1
1442	1
1453	1
1465	1
1468	1
1471	1
1472	1
1476	1
1484	1
1485	1
1487	1
1489	1
1490	1
1497	1
1501	1
1506	1
1514	1
1518	1
1524	1
1525	1
1531	1
1532	1
1533	1
1538	1
1549	1
1555	1
1556	1
1557	1
1587	1
1597	1
1610	1
1619	1
1641	1
1652	1
1654	1
1657	1
1662	1
1669	1
1679	1
1689	1
1692	1
1716	1
1718	1
1752	1
1758	1
1768	1
1774	1
1783	1
1787	1
1788	1
1798	1
1861	1
1864	1
2651	1
2843	1
2909	1
3892	1
4942	1
5323	1
8290	1
1425	1
1919	1
506	1
587	1
778	1
559	1
982	1
1049	1
1103	1
1384	1
1580	1
1618	1
1717	1
1966	1
11	1
204	1
230	1
313	1
332	1
350	1
372	1
465	1
575	1
608	1
707	1
710	1
722	1
744	1
762	1
763	1
764	1
803	1
805	1
825	1
836	1
859	1
873	1
887	1
908	1
935	1
937	1
941	1
943	1
946	1
947	1
968	1
975	1
999	1
1000	1
1006	1
1012	1
1018	1
1031	1
1034	1
1061	1
1075	1
1097	1
1111	1
1124	1
1127	1
1128	1
1137	1
1151	1
1154	1
1164	1
1165	1
1185	1
1199	1
